"state","beta_lt","se_lt","beta_pre","se_pre","n_obs","n_machines_pre","mean_pre","law_date","ci_lo","ci_hi","label"
"LA",-0.0340236171847192,0.000291204811422254,0.000126931992728301,0.00035407445669374,1497096,4664,0.0420950533462658,2023-01-01,-0.0345943786151068,-0.0334528557543316,"LA (Jan'23, N= 4,664)"
"UT",-0.0325191578716163,0.000306354467949961,9.12500337193138e-05,0.000337174963209914,1387152,2383,0.0436200112422709,2023-05-01,-0.0331196126287982,-0.0319187031144344,"UT (May'23, N= 2,383)"
"MS",-0.0350081863030006,0.000714987621686486,-0.00108821614065324,0.000338858967218286,1300431,1810,0.0437352245862884,2023-06-29,-0.0364095620415061,-0.033606810564495,"MS (Jun'23, N= 1,810)"
"VA",-0.0283073858548336,0.000714795630822912,-0.0010318456393621,0.000337298089879021,1399005,10620,0.0515680963323363,2023-06-29,-0.0297083852912465,-0.0269063864184207,"VA (Jun'23, N=10,620)"
"AR",-0.0308150018763795,0.000664806859208641,0.00230166482740492,0.00047681748290931,1273480,2028,0.0464596989123388,2023-07-28,-0.0321180233204284,-0.0295119804323305,"AR (Jul'23, N= 2,028)"
"MT",-0.0516680227727015,0.000443694275660075,-0.00186288678076686,0.000523515680018275,1071284,587,0.0561909497762307,2023-12-28,-0.0525376635529953,-0.0507983819924078,"MT (Dec'23, N=   587)"
"NC",-0.0319384149707349,0.00044296948292305,0.00018230001581771,0.00052479599333149,1138896,6799,0.0444034220607793,2023-12-28,-0.032806635157264,-0.0310701947842057,"NC (Dec'23, N= 6,799)"
"TX",-0.0294164191247874,0.000939957751038431,-0.00155975814637628,0.000465899756019441,1062473,19408,0.040660917392799,2024-03-14,-0.0312587363168227,-0.0275741019327521,"TX (Mar'24, N=19,408)"
"ID",-0.0398333332138509,0.00104122778291308,-0.0111418428710136,0.000530130560834061,678606,603,0.0467052023121387,2024-06-28,-0.0418741396683605,-0.0377925267593412,"ID (Jun'24, N=   603)"
"IN",-0.00111817766004275,0.00103630010964145,0.000228362556082501,0.000534208037608461,698713,2586,0.0485814005854537,2024-06-28,-0.00314932587493999,0.00091297055485449,"IN (Jun'24, N= 2,586)"
"KS",-0.0438248671224071,0.00103937473220814,-0.0052371835667982,0.000539559306083562,679620,695,0.0471414242728185,2024-06-28,-0.045862041597535,-0.0417876926472791,"KS (Jun'24, N=   695)"
"KY",-0.0330484511052932,0.000941534017553065,0.00224470666251024,0.00094492177704223,683674,1534,0.0517916290274014,2024-07-10,-0.0348938577796972,-0.0312030444308892,"KY (Jul'24, N= 1,534)"
"NE",-0.0167346511171833,0.00100462345700389,0.00383764793060125,0.0012043952298925,674801,727,0.0378726833199033,2024-07-15,-0.018703713092911,-0.0147655891414557,"NE (Jul'24, N=   727)"
"AL",-0.0232093984916883,0.000496911221402109,-0.00470599303442874,0.000586315782250769,803954,2347,0.0403031115879828,2024-09-26,-0.0241833444856364,-0.0222354524977401,"AL (Sep'24, N= 2,347)"
"OK",-0.0303544725855299,0.000503461769577169,0.00287444521091114,0.000404410590074665,880927,1846,0.0466826265389877,2024-11-01,-0.0313412576539011,-0.0293676875171586,"OK (Nov'24, N= 1,846)"
