"state","beta_lt","se_lt","beta_pre","se_pre","law_date","ci_lo","ci_hi","label"
"LA",0.00824368146691489,0.00142477822446415,-0.00709305506343816,0.00139551600000222,2023-01-01,0.00545111614696516,0.0110362467868646,"LA (Jan'23)"
"UT",0.0216744313923587,0.00156650328220848,-0.014224061264204,0.00128487800334682,2023-05-01,0.0186040849592301,0.0247447778254873,"UT (May'23)"
"MS",0.0282417935672108,0.00133086117232162,-0.00894017009612971,0.00101674890357445,2023-06-29,0.0256333056694604,0.0308502814649611,"MS (Jun'23)"
"VA",-0.000122574509992444,0.0013450110645374,-0.00965903745993349,0.0010484702646267,2023-06-29,-0.00275879619648575,0.00251364717650086,"VA (Jun'23)"
"AR",0.00653077290894426,0.00136379735269032,-0.00548637177514807,0.00147722287803452,2023-07-28,0.00385773009767123,0.00920381572021729,"AR (Jul'23)"
"MT",-0.0108909660684479,0.00166235341185381,-0.00435036878038825,0.00114187320355806,2023-12-28,-0.0141491787556814,-0.00763275338121445,"MT (Dec'23)"
"NC",0.0191090952674984,0.00167251486742595,-0.00443810403554267,0.00114162056611483,2023-12-28,0.0158309661273436,0.0223872244076533,"NC (Dec'23)"
"TX",0.0205723802471178,0.0017644614453163,0.00239917000834377,0.00140519205329566,2024-03-14,0.0171140358142979,0.0240307246799378,"TX (Mar'24)"
"ID",0.0135593030649786,0.00146591133888185,-0.000291690385630202,0.00103291009051039,2024-06-28,0.0106861168407702,0.016432489289187,"ID (Jun'24)"
"IN",0.00569382283724916,0.00146250403498255,0.00514290860122028,0.00102328519761483,2024-06-28,0.00282731492868336,0.00856033074581495,"IN (Jun'24)"
"KS",0.0445584361826803,0.00143634825707888,0.0122097053399697,0.00104071602814231,2024-06-28,0.0417431935988057,0.0473736787665549,"KS (Jun'24)"
"KY",0.0338157854367242,0.00108853095668631,0.00209860764482494,0.00116943698800334,2024-07-10,0.031682264761619,0.0359493061118294,"KY (Jul'24)"
"NE",0.00914163157581996,0.000960474390553496,0.00636481556931083,0.00146368090731795,2024-07-15,0.00725910177033511,0.0110241613813048,"NE (Jul'24)"
"AL",-0.0010198019318014,0.00120651104588642,0.00153007129598386,0.000698108520084106,2024-09-26,-0.00338456358173878,0.00134495971813598,"AL (Sep'24)"
"OK",0.0368470269190554,0.0012855459272732,-0.00215410651110555,0.00115079182302519,2024-11-01,0.0343273569016,0.0393666969365109,"OK (Nov'24)"
