"group","norm_st_PH","norm_st_XV","norm_st_XNXX","norm_lt_PH","norm_lt_XV","norm_lt_XNXX","n_mach","ey0_st","ey0_lt","frac_st","frac_lt"
"Full sample",-0.592322039926383,0.182499454565434,0.0778599819223992,-0.69451582265834,0.241879427030613,0.0932587130183049,58637,0.788137643894694,0.76633853306538,0.407677960073617,0.30548417734166
"PH bin 0",-0.546345934640502,0.2536196675097,0.136144776826145,-0.674500210374238,0.386833991753962,0.164530013479607,53756,0.159109997543021,0.159335430166908,0.453654065359498,0.325499789625762
"PH bin 1 (low)",-0.617280251351066,0.377769561137399,0.0547695663387431,-0.724320638092508,0.249940269442919,-0.139256640277298,1606,0.883706574473149,0.914173671815822,0.382719748648934,0.275679361907492
"PH bin 2 (mid)",-0.620627951288953,0.208874408814328,0.0722620887762244,-0.755164974112317,0.283380965092276,0.178499996946934,1643,2.55536105620049,2.51017766721793,0.379372048711047,0.244835025887683
"PH bin 3 (high)",-0.581846015994654,0.139109606125819,0.0624880393674761,-0.673727935244167,0.186983227926077,0.0713087962331311,1632,12.7219825505943,12.2628137841331,0.418153984005346,0.326272064755833
"XXX bin 0",-0.561297230910313,0.100915068085071,0.0300456630686576,-0.710677831270708,0.157519913903711,0.0490529726892416,49177,0.136119823340741,0.130151186529039,0.438702769089687,0.289322168729292
"XXX bin 1 (low)",-0.573022888930136,0.329372472471191,0.241166321953202,-0.52612360659552,0.349242348853549,0.495943251313816,3155,0.342458694792366,0.37639833808763,0.426977111069864,0.47387639340448
"XXX bin 2 (mid)",-0.544802199263509,0.140504009595952,0.0427612193067385,-0.688909855961351,0.21505640513104,0.0438117104671454,3251,1.35210080048831,1.35509163354479,0.455197800736491,0.311090144038649
"XXX bin 3 (high)",-0.594287153610173,0.193095250998291,0.0825881473322326,-0.691732142496016,0.251703015465226,0.0844410385048845,3054,7.15884478835212,6.87893897538052,0.405712846389827,0.308267857503984
"Age 18-34",-0.524338906931849,0.0914921784225909,0.0145823973308252,-0.678812030184775,0.132145596858377,0.0514310903511243,17551,0.822353444286468,0.801737997380406,0.475661093068151,0.321187969815225
"Age 35-54",-0.640229691116263,0.188335013307724,0.0843831411551266,-0.76471973820855,0.272064368165624,0.0604006993830616,28412,0.747894599154025,0.713678272842138,0.359770308883737,0.23528026179145
"Age 55+",-0.610279640432002,0.311438866826779,0.160527255540839,-0.600074867634455,0.358379928671802,0.205085588534874,12674,0.811295346126204,0.809870976338477,0.389720359567998,0.399925132365545
"Income: low",-0.571383542485736,0.199368527449587,0.05720068624419,-0.670616826845588,0.209047168185214,0.0776672097376176,21065,0.742498715567057,0.717602309965454,0.428616457514264,0.329383173154412
"Income: mid",-0.593536067532922,0.225236819254455,0.143005093004566,-0.692238051923478,0.351608577487186,0.175907685021816,19869,0.786380211383051,0.76667151621597,0.406463932467078,0.307761948076522
"Income: high",-0.616947567747151,0.118166635556895,0.037369488856077,-0.726677263284519,0.169681221231689,0.0305472963953417,17703,0.854414094082764,0.838089141922121,0.383052432252849,0.273322736715481
"Kids: no",-0.58456052778209,0.277071613690451,0.131228626088208,-0.67884564655806,0.362764969568617,0.144962816748833,24983,0.76846452468503,0.78119027209666,0.41543947221791,0.32115435344194
"Kids: yes",-0.595906589343045,0.137368076369224,0.0523468273050933,-0.702273390120338,0.181722949674184,0.0673655023215259,33654,0.797681129455502,0.758572687305627,0.404093410656955,0.297726609879662
"VPN user: no",-0.589674129287213,0.177217250389484,0.0772039923998184,-0.693030263923735,0.240471543464095,0.0927892702323653,58095,0.779513306005198,0.760934461870354,0.410325870712787,0.306969736076265
"VPN user: yes",-0.697608781604806,0.393062066632791,0.100087880808376,-0.767424376587191,0.301574694888274,0.107134811759976,542,1.43566372978239,1.18047976776284,0.302391218395194,0.232575623412809
"allVPN user: no",-0.593234371304029,0.187947303141001,0.0705284907782339,-0.695409836908728,0.252308413472052,0.0971938835384082,56981,0.782763859499806,0.76306284069978,0.406765628695971,0.304590163091272
"allVPN user: yes",-0.573549946512017,0.0708654359669309,0.22869599260855,-0.674383062646874,0.0112009282791082,0.00499056976142146,1656,0.924697533260465,0.849831642570482,0.426450053487983,0.325616937353126
