category,session_count,total_duration,session_pct,duration_pct,rank
Multi-Category,18069528,2859146359.0,49.631302849139175,39.67823016956482,1
Services,2172892,255488603.0,5.9682500234910245,3.5455812059513288,2
Promotional Servers,1978072,296188235.0,5.433140837403302,4.11039642124426,3
Social Media,1299743,214006520.0,3.569984697942785,2.969907410167518,4
Corporate Presence,1218221,318295135.0,3.346069437352275,4.417188224250226,5
Retail,1181347,296453691.0,3.2447881719390796,4.114080326489172,6
XXX Adult,1102648,394354930.0,3.028626803312052,5.4727193771624005,7
Media,502122,60469545.0,1.3791710026523913,0.8391751325378225,8
Social Networking,501626,89203811.0,1.377808646855761,1.2379391959837611,9
Online Gaming,487475,75335732.0,1.3389403063756906,1.0454828606025377,10
Entertainment,458170,157344914.0,1.2584487002864766,2.183577519230586,11
Technology,428413,145875361.0,1.1767155925438817,2.0244070862642958,12
Banking,415350,122340986.0,1.1408356454241615,1.6978052859725983,13
Entertainment - Music,363135,27250182.0,0.9974174842930127,0.3781684663168838,14
Gaming Information,345371,49693615.0,0.9486253706411173,0.6896305562396496,15
Taxes,326850,137836196.0,0.8977540163883163,1.9128423745673842,16
Games,312594,141480258.0,0.8585972739754912,1.9634133886510197,17
Government,296554,99979950.0,0.8145404453909155,1.3874866727106159,18
Education,283977,107635209.0,0.7799953872170869,1.4937236716153763,19
Business to Business,205519,188352516.0,0.5644959696928572,2.6138901421886396,20
Education - Information,201129,70227347.0,0.5524380222186497,0.9745904856156045,21
Reference,195318,37072120.0,0.5364770352544994,0.5144738763034857,22
News/Information,191826,32475520.0,0.5268856109766106,0.4506838740102097,23
Lifestyles,186638,35106331.0,0.5126358088134697,0.48719334616858234,24
Downloads,172783,32466054.0,0.47458048711525913,0.45055250818292253,25
Training and Higher Advancement,162247,72747467.0,0.4456414131771612,1.009563826906848,26
Career Resources,150356,28827090.0,0.41298058096399476,0.4000522423548869,27
Search/Navigation,148839,25932264.0,0.4088138597069622,0.359878862644093,28
Department Stores/Malls,140345,32258820.0,0.3854835166896688,0.44767658742948635,29
General News,137704,14694578.0,0.37822952140962735,0.20392619856387825,30
Real Estate,133270,35768719.0,0.3660507197921704,0.49638573446406997,31
Instant Messengers,132754,13631742.0,0.3646334302940631,0.18917653340324295,32
Health,123228,71558067.0,0.3384685082805551,0.9930577509533994,33
Telecommunications,117463,26793294.0,0.322633868829802,0.3718279349311268,34
Directories/Resources,108562,32870580.0,0.2981856249874511,0.4561663781014905,35
Classifieds,105851,21605527.0,0.2907393617522401,0.29983392439573514,36
Computer Software,104775,38125781.0,0.287783928612776,0.5290962140327498,37
Investments,94291,52255568.0,0.2589876822985184,0.7251844412296999,38
Sports,91559,24442140.0,0.25148373867675644,0.3391994445138956,39
Apparel,76909,13702529.0,0.2112448023448341,0.1901588905568639,40
Home Furnishings,74442,15221229.0,0.20446873026764276,0.21123487639047966,41
Payments,73408,15488964.0,0.20162865790128046,0.2149504087979091,42
Local News,72480,9992614.0,0.1990797341527464,0.13867399164073918,43
Financial Services,66268,20614658.0,0.18201732647398175,0.28608299201477183,44
Forums/Message Boards,62297,17527562.0,0.171110240045718,0.24324135669310729,45
Weather,59193,22223451.0,0.16258452957648342,0.308409256897382,46
Coupons/Incentives,53044,12344338.0,0.1456951630573714,0.17131039231801198,47
Shipping,50050,8658430.0,0.13747158794626044,0.1201586541261301,48
Career Services and Development,47447,12203873.0,0.13032196669902535,0.16936106832372816,49
Business/Finance News,46369,10155286.0,0.1273610401894136,0.14093149659071344,50
Financial Services & Advice,45976,9014373.0,0.12628159295539002,0.12509830621382,51
Online Travel Agents,43499,9133590.0,0.1194780540274602,0.12675275791799212,52
Online Gambling,41012,8423828.0,0.11264704824879189,0.11690292986950407,53
Information/Resources,40299,7538469.0,0.11068866179113586,0.1046162282551864,54
Food/Supermarket/Grocery,40297,12727279.0,0.11068316842098816,0.1766247131786893,55
Airlines,38280,10135470.0,0.10514310462702997,0.14065649709425007,56
Insurance,37595,14397708.0,0.10326162535144179,0.19980634084713003,57
Religion/Spirituality,37507,9451422.0,0.10301991706494287,0.13116351891718206,58
Health Care,35144,8553031.0,0.09652950023543211,0.11869596377854512,59
Family & Youth Education,34043,10605098.0,0.09350539996912176,0.1471738297307611,60
Dating,33735,11421591.0,0.09265942096637556,0.15850483315556285,61
Health - Information,33206,9148123.0,0.09120642456230818,0.12695444179375423,62
Consumer Electronics,31838,7161627.0,0.08744895938127953,0.0993865471769541,63
Books,30456,14369420.0,0.08365304060921695,0.19941376990668008,64
Sports/Outdoor,28601,6560646.0,0.07855793979722268,0.0910463436856311,65
Automotive,25673,6968605.0,0.07051564590098591,0.0967078555738882,66
Manufacturer,24919,5205209.0,0.06844464535530198,0.07223606449266431,67
Lotto/Sweepstakes,24653,16879300.0,0.06771402712565752,0.23424500407015908,68
Entertainment - Movies,23739,4522812.0,0.06520355696815737,0.06276599831441851,69
Hotel/Resort & Home Sharing,23402,12786078.0,0.06427792409826948,0.17744070507375137,70
Directories,23087,4356919.0,0.0634127183000063,0.060463793456384654,71
Web Hosting,22954,7980528.0,0.06304740918518406,0.11075096798101927,72
Travel,20819,7273152.0,0.05718323655251142,0.10093425200351233,73
Family & Parenting,20672,8619422.0,0.05677947384665526,0.11961731478630148,74
Teens,20018,1642114.0,0.05498314180835648,0.022788682031462514,75
Politics,19421,4254357.0,0.05334337081926722,0.05904047399956809,76
Travel - Information,18365,3996818.0,0.05044287138128019,0.05546643810333871,77
Computer Hardware,17958,3907320.0,0.049324970556222675,0.05422441625561569,78
Gambling,17498,9765203.0,0.048061495422251056,0.13551806155947993,79
Pets,17440,4489635.0,0.047902187687967675,0.06230557954705045,80
Technology News,16681,1857304.0,0.045817453716914494,0.025775013361900242,81
Retail - Automotive,16206,3281034.0,0.0445127783068351,0.04553303885139374,82
Lifestyles - Food,15294,3543065.0,0.04200780151948266,0.049169413147810516,83
Maps/GPS/Traffic,14213,6499704.0,0.03903863495464935,0.09020061198834248,84
Entertainment - News,10420,1213873.0,0.028620458469531145,0.016845703662216813,85
Tickets,10330,1662787.0,0.028373256812884527,0.023075574673286664,86
Auctions,9799,5627841.0,0.026914767038669452,0.07810120312757095,87
Jewelry/Luxury Goods/Accessories,9729,2250050.0,0.026722499083499857,0.031225404572942088,88
Diet & Exercise/Fitness Tracker,9423,3023521.0,0.02588201345090134,0.04195936377404344,89
Car Transportation,8726,1658511.0,0.023967573954426946,0.023016233845325553,90
Ground/Cruise,8313,3269154.0,0.022833193018926338,0.04536817237894799,91
Toys,8179,1864772.0,0.022465137219030252,0.025878651646094254,92
Fragrances/Cosmetics,7574,2641478.0,0.020803392749350183,0.03665750504234391,93
Humor,7536,6294543.0,0.02069901871654383,0.08735345960168912,94
Retail - Music,7475,1908895.0,0.020531470927038897,0.026490975161559203,95
Flowers/Gifts/Greetings,7393,1825223.0,0.020306242750983087,0.02532980449805075,96
Home/Architecture,5982,1093262.0,0.01643067011177882,0.015171906515065807,97
Comparison Shopping,5790,1093260.0,0.01590330657759936,0.015171878759767414,98
LGBTQ+,5294,1784146.0,0.014540950780969088,0.024759752302036107,99
Beauty/Fashion,4567,564039.0,0.012544110732279151,0.007827535374732865,100
e-mail,4364,3652842.0,0.011986533662287325,0.05069285984357455,101
Green,4283,940376.0,0.011764052171305365,0.013050208240121328,102
ISP,2592,2322459.0,0.007119407711422719,0.0322302712735586,103
e-cards,1863,395649.0,0.005117074292585079,0.00549067802665717,104
Retail - Movies,1328,105378.0,0.0036475977780746033,0.0014623989169518417,105
All Other,1256,355985.0,0.003449836452757305,0.004940234948956152,106
Family & Youth,355,89387.0,0.000975073201217232,0.001240481428662285,107
