top_web_name,total_minutes,sessions,unique_devices,avg_minutes_per_session,minute_share,cumulative_minute_share
XVIDEOS.COM,451911.35,47216,4658,9.57114855133853,0.2148964653660809,0.2148964653660809
XNXX.COM,419296.9666666667,38720,4138,10.828950585399449,0.19938741541982985,0.4142838807859107
PORNHUB.COM,365356.25,50384,5893,7.251433986979993,0.1737370984915652,0.588020979277476
XHAMSTER.COM,96127.91666666667,13387,2221,7.180691466845945,0.045711508495353895,0.6337324877728299
CHATURBATE.COM,73900.21666666666,13191,2387,5.602321026962827,0.035141616495036485,0.6688741042678663
SPANKBANG.COM,33553.78333333333,4709,880,7.125458342181638,0.015955760876536183,0.6848298651444025
"Various, Inc",30712.433333333334,4197,1247,7.317711063458026,0.014604619614277748,0.6994344847586802
REDTUBE.COM,29907.316666666666,4149,868,7.208319273720575,0.014221764158503096,0.7136562489171833
FETLIFE.COM,24940.7,3299,134,7.56007881176114,0.011859999253738183,0.7255162481709214
YOUPORN.COM,21082.266666666666,3969,1148,5.311732594272277,0.01002520646709098,0.7355414546380123
FAPHOUSE.COM,20347.8,5104,828,3.986637931034483,0.009675947059032576,0.745217401697045
LITEROTICA.COM,18525.75,2507,247,7.3896090945353015,0.008809511408057517,0.7540269131051025
STRIPCHAT.COM,15569.05,9203,2659,1.6917363903075084,0.007403517999952384,0.7614304311050549
MANGAGO.ME,15045.683333333332,646,43,23.290531475748192,0.007154642536308697,0.7685850736413636
RULE34.XXX,14822.816666666668,1775,180,8.350882629107982,0.0070486632133406266,0.7756337368547043
Global Personals LLC,13316.966666666667,685,39,19.440827250608272,0.006332589491422571,0.7819663263461268
SKIPTHEGAMES.COM,13120.15,2240,138,5.8572098214285715,0.006238997670832535,0.7882053240169594
NHENTAI.NET,11696.466666666667,1312,111,8.914989837398375,0.005561996493203486,0.7937673205101629
PORNPICS.COM,9963.316666666668,1024,186,9.729801432291667,0.004737835274528136,0.798505155784691
MYFREECAMS.COM,8960.983333333334,1884,601,4.756360580325548,0.004261197786994496,0.8027663535716855
LUXURETV.COM,8398.2,759,241,11.064822134387352,0.003993578597743608,0.8067599321694291
YOUJIZZ.COM,6583.533333333334,979,206,6.724753149472251,0.003130653927928798,0.8098905860973579
MYREADINGMANGA.INFO,6179.816666666667,368,28,16.792980072463767,0.0029386753801980475,0.812829261477556
LIVEJASMIN.COM,6079.3,7192,1444,0.8452864293659622,0.0028908768985333425,0.8157201383760893
SEX.COM,5438.066666666667,996,341,5.4599062918340024,0.002585952543771632,0.8183060909198608
