top_web_name,sessions,unique_devices,session_share,cumulative_session_share
PORNHUB.COM,50384,5893,0.1439398917251132,0.1439398917251132
XVIDEOS.COM,47216,4658,0.13488936820603653,0.2788292599311497
XNXX.COM,38720,4138,0.11061750967760367,0.38944676960875335
XHAMSTER.COM,13387,2221,0.038244746953876044,0.4276915165626294
CHATURBATE.COM,13191,2387,0.0376848029482766,0.46537631951090597
STRIPCHAT.COM,9203,2659,0.026291656548630853,0.4916679760595368
LIVEJASMIN.COM,7192,1444,0.020546516776893738,0.5122144928364306
FAPHOUSE.COM,5104,828,0.014581399002956847,0.5267958918393875
SPANKBANG.COM,4709,880,0.01345294042024369,0.5402488322596312
"Various, Inc",4197,1247,0.011990229548473725,0.5522390618081049
REDTUBE.COM,4149,868,0.01185310040424529,0.5640921622123501
YOUPORN.COM,3969,1148,0.01133886611338866,0.5754310283257388
FETLIFE.COM,3299,134,0.009424771808533433,0.5848558001342722
LITEROTICA.COM,2507,247,0.007162140928764266,0.5920179410630364
SKIPTHEGAMES.COM,2240,138,0.006399360063993601,0.59841730112703
PHNCDN.COM,2135,532,0.006099390060993901,0.6045166911880239
MYFREECAMS.COM,1884,601,0.005382318910966046,0.60989901009899
XHAMSTERLIVE.COM,1789,462,0.005110917479680603,0.6150099275786706
RULE34.XXX,1775,180,0.005070921479280644,0.6200808490579512
BANGCREATIVES.COM,1580,498,0.004513834330852629,0.6245946833888039
BONGACAMS.COM,1573,637,0.004493836330652649,0.6290885197194566
CAMSCHAT.NET,1554,497,0.00443955604439556,0.6335280757638522
CAMSODA.COM,1528,510,0.004365277757938492,0.6378933535217907
BRAZZERSNETWORK.COM,1410,933,0.0040281686117102575,0.641921522133501
JERKMATE.COM,1407,896,0.00401959804019598,0.645941120173697
