rank,top_web_id,top_web_name,session_count,total_hours,machines_visiting,share_of_machines,mean_minutes,median_minutes,p90_minutes,p99_minutes,max_minutes
1,590133,Google Sites,7900908,319618.9025,210925,76.70167349105799,2.427206360332255,1.0,5.233333333333333,23.966666666666665,1440.1333333333334
2,11320,Microsoft Sites,7101814,325527.62388888886,228112,82.95162803552077,2.7502350009917653,0.5833333333333334,4.733333333333333,41.833333333333336,1439.85
3,25988090,Yahoo,2245580,114265.3025,125694,45.70790635432046,3.05307232429929,0.5333333333333333,7.6,37.233333333333334,1350.0666666666666
4,15960524,Facebook,1221559,55295.88972222222,73148,26.599853087703735,2.7159992954358603,1.25,5.166666666666667,24.516666666666666,1425.0166666666667
5,3362544,Valve Corporation,1124770,3135.3169444444443,78494,28.543895503174614,0.16725109726136603,0.0,0.0,2.0,1437.1666666666667
6,10429,Amazon Sites,715712,49745.78888888889,77620,28.22607038699026,4.170318973739902,1.0833333333333333,10.1,46.38333333333333,962.65
7,3418596,EXAMPLE.COM,534377,7763.530555555555,58059,21.11282427980247,0.8716913963986724,0.36666666666666664,2.0,10.0,155.4
8,17670547,Dropbox Sites,381944,283.7297222222222,25099,9.12710822781588,0.044571411864915624,0.0,0.0,1.0666666666666667,47.71666666666667
9,34358328,GOOGLEAPIS.COM,345513,11202.372777777779,76385,27.77696967933846,1.9453460988925646,1.0,2.2,15.6,1412.9166666666667
10,626522,EA Games - Media Network,293114,1029.5416666666667,23793,8.652188775027819,0.21074564845077343,0.0,0.0,3.3333333333333335,292.28333333333336
11,5843003,Spotify,276813,1363.3027777777777,41503,15.092329287184448,0.29549972966105875,0.0,0.55,5.5813333333334105,811.35
12,3477480,SUNBIZ.ORG,236624,22910.09888888889,25645,9.325658014356678,5.8092413843622515,2.0,14.0,38.86666666666667,640.0166666666667
13,5796064,Playwire Media - Gamezone Group,221122,715.6511111111112,16271,5.916856367775297,0.19418722093082852,0.0,0.0,3.8965000000001355,140.38333333333333
14,41856,eBay,203500,14565.989166666666,24794,9.01619671701928,4.294640540540541,1.0,11.366666666666667,49.666833333333486,484.85
15,18697250,TWITCH.TV,151782,2650.2891666666665,16411,5.967766569452424,1.0476693547324452,0.23333333333333334,2.1166666666666667,11.816666666666666,1278.5833333333333
16,22361419,FANDOM Sites,136901,5332.536666666667,24314,8.841647454126273,2.3371063761404223,0.5,4.6,29.7,540.7333333333333
17,13810128,INSTRUCTURE.COM,133443,16740.444444444445,12989,4.723375782744351,7.527009035068656,2.9,19.55,56.67633333333312,251.26666666666668
18,25538196,DISCORD.COM,129876,3435.0433333333335,25612,9.313657752532782,1.5869182912932334,1.0,2.533333333333333,11.0,317.75
19,21068557,Reddit,118097,3749.8175,22527,8.19181509414751,1.9051207905365928,1.0,3.566666666666667,18.266666666666666,137.76666666666668
20,20029676,Twitter,116934,4686.8325,23689,8.614369768067668,2.404860434091026,1.3833333333333333,4.183333333333334,21.127833333333303,774.1666666666666
21,10069231,CHATURBATE.COM,115645,14950.382222222222,18672,6.789966326538035,7.756694481675242,0.8,13.566666666666666,140.9206666666665,1318.0666666666666
22,13272028,Comcast NBCUniversal,110886,4500.1641666666665,17786,6.467777478781356,2.4350220045812816,1.0,5.683333333333334,20.554999999999808,850.2666666666667
23,24159402,Freestar,108526,5139.413888888889,33566,12.206084496389012,2.8413913102236634,0.7166666666666667,5.85,34.52916666666667,1429.9833333333333
24,20394055,Netflix Inc.,104751,2768.0641666666666,21164,7.696167916390903,1.5855108781777738,1.0,2.816666666666667,12.0,67.81666666666666
25,4696535,PORNHUB.COM,104127,9449.150277777779,20698,7.526709673665607,5.44478393372196,2.7666666666666666,12.940000000000145,40.57900000000009,215.93333333333334
26,3397601,Wikimedia Foundation Sites,102564,4976.686944444445,27559,10.02167320014255,2.911364773864774,1.5833333333333333,6.333333333333333,28.483333333333334,183.86666666666667
27,18189822,ZOOM.US,101194,4377.137777777778,23443,8.524913270835,2.595294846203003,1.5833333333333333,6.266666666666667,18.584499999999874,149.5
28,16333206,Indeed,99657,4805.887777777778,11416,4.1513633024720535,2.893457224948239,0.6833333333333333,7.633333333333334,29.490666666666705,382.71666666666664
29,27798748,The Walt Disney Company,97714,6105.3675,11554,4.201546215553794,3.748920830177865,1.0,6.066666666666666,51.565999999999384,1362.6333333333334
30,4929635,"craigslist, inc.",95773,5345.591944444444,6457,2.348051230208659,3.348913750917969,1.4,8.183333333333334,32.38333333333333,204.06666666666666
