device_type,variable,category,n_full,share_full,n_xxx,share_xxx
desktop,age,18-24,90937,0.13936769057942028,40713,0.19410713008653366
desktop,age,25-34,79334,0.121585233342069,31053,0.14805120503468497
desktop,age,35-44,89904,0.137784541538122,28759,0.1371141147583971
desktop,age,45-54,239536,0.36710666868966446,64376,0.3069250756871439
desktop,age,55-64,93903,0.14391330534853033,26941,0.12844644687596843
desktop,age,65+,58883,0.09024256050219388,17903,0.08535602755727192
desktop,hh_income,Less than 25k,131555,0.20161685823754788,38894,0.18543469451000025
desktop,hh_income,25k-39k,143414,0.21979157088122606,39854,0.19001168085055664
desktop,hh_income,40k-59k,80806,0.12384061302681992,24010,0.1144723354549572
desktop,hh_income,60k-74k,27563,0.04224214559386973,9917,0.04728122243676846
desktop,hh_income,75k-99k,43002,0.06590344827586207,14260,0.06798731793368137
desktop,hh_income,100k-149k,59966,0.09190191570881226,18884,0.09003313547402798
desktop,hh_income,150k-199k,13647,0.02091494252873563,5037,0.024014875205606807
desktop,hh_income,200k+,152547,0.23378850574712642,58889,0.2807647381344013
desktop,hh_size,1,126809,0.19507216234759145,35061,0.16776882440761015
desktop,hh_size,2,254397,0.3913426719297544,79345,0.3796702139876737
desktop,hh_size,3,107958,0.16607338992280737,40285,0.192765953374421
desktop,hh_size,4,71704,0.11030332491362363,24058,0.11511886077403055
desktop,hh_size,5+,89194,0.13720845088622316,30235,0.1446761474562646
desktop,children,No,325418,0.4987249042145594,81034,0.3863453240840068
desktop,children,Yes,327082,0.5012750957854406,128711,0.6136546759159932
desktop,gender,Female,51205,0.07847509578544061,10375,0.049464826336742235
desktop,gender,Male,98950,0.15164750957854406,40544,0.19330138978283154
desktop,gender,Shared,122471,0.1876950191570881,55365,0.26396338410927556
desktop,gender,Unknown,379874,0.5821823754789271,103461,0.49327039977115067
mobile,age,18-24,10512,0.11699629378178944,8269,0.132475688492286
mobile,age,25-34,18479,0.20566728622466582,13852,0.22191960781172398
mobile,age,35-44,23440,0.2608821467128182,17134,0.2744997516781749
mobile,age,45-54,16646,0.18526639138999879,11096,0.1777663852352649
mobile,age,55-64,12326,0.13718572271255106,7481,0.119851327320207
mobile,age,65+,8446,0.09400215917817673,4587,0.0734872394623432
mobile,hh_income,Less than 25000,33583,0.3737715500450756,24083,0.3858280331309377
mobile,hh_income,25000 - 39999,14273,0.15885541297065076,10087,0.16160143546035663
mobile,hh_income,40000 - 59999,13488,0.1501185322040312,9254,0.14825613995738476
mobile,hh_income,60000 - 74999,5634,0.0627052054001714,3801,0.06089491981608164
mobile,hh_income,75000 - 99999,13505,0.1503077385391045,9085,0.14554863102580945
mobile,hh_income,100000 or more,9366,0.10424156084096652,6109,0.09787084060942983
mobile,hh_size,1,18629,0.2073367538870772,12897,0.2066197792338871
mobile,hh_size,2,24504,0.2727242373315229,16303,0.26118649770102054
mobile,hh_size,3,16364,0.18212779218466538,11456,0.1835338598824076
mobile,hh_size,4,13462,0.14982915780921324,9504,0.1522613306845672
mobile,hh_size,5+,16890,0.18798205878752128,12259,0.19639853249811756
mobile,children,No,50011,0.5566116484323699,34148,0.5470770118073023
mobile,children,Yes,39838,0.4433883515676301,28271,0.4529229881926977
mobile,gender,Female,49492,0.5508352903204264,30058,0.48155209151059775
mobile,gender,Male,40357,0.4491647096795735,32361,0.5184479084894023
mobile,race,Black,7767,0.1839300937766411,5491,0.19316143103387626
mobile,race,Non-Black,34225,0.8104811973098418,22767,0.8008935167270552
mobile,race,Not Reportable,236,0.005588708913517097,169,0.005945052239068491
mobile,hispanic,Hispanic,7353,0.17412617220801363,5160,0.18151757132303795
mobile,hispanic,Non-Hispanic,34639,0.8202851188784692,23098,0.8125373764378936
mobile,hispanic,Not Reportable,236,0.005588708913517097,169,0.005945052239068491
